score one,score two,score three,score four,score five,score six,score seven,score eight,score nine,score ten
"[36.94, 0]","[37.64, 0]","[39.52, 2]","[43.18, 1]","[48.27, 3]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[28.57, 1]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[29.33, 1]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
"[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]","[100000, 0]"
